Chance.of.Admit,GRE.Score,TOEFL.Score,CGPA.Score
0.92,337,118,9.65
0.76,324,107,8.87
0.72,316,104,8
0.8,322,110,8.67
0.65,314,103,8.21
0.9,330,115,9.34
0.75,321,109,8.2
0.68,308,101,7.9
0.5,302,102,8
0.45,323,108,8.6
0.52,325,106,8.4
0.84,327,111,9
0.78,328,112,9.1
0.62,307,109,8
0.61,311,104,8.2
0.54,314,105,8.3
0.66,317,107,8.7
0.65,319,106,8
0.63,318,110,8.8
0.62,303,102,8.5
0.64,312,107,7.9
0.7,325,114,8.4
0.94,328,116,9.5
0.95,334,119,9.7
0.97,336,119,9.8
0.94,340,120,9.6
0.76,322,109,8.8
0.44,298,98,7.5
0.46,295,93,7.2
0.54,310,99,7.3
0.65,300,97,8.1
0.74,327,103,8.3
0.91,338,118,9.4
0.9,340,114,9.6
0.94,331,112,9.8
0.88,320,110,9.2
0.64,299,106,8.4
0.58,300,105,7.8
0.52,304,105,7.5
0.48,307,108,7.7
0.46,308,110,8
0.49,316,105,8.2
0.53,313,107,8.5
0.87,332,117,9.1
0.91,326,113,9.4
0.88,322,110,9.1
0.86,329,114,9.3
0.89,339,119,9.7
0.82,321,110,8.85
0.78,327,111,8.4
0.76,313,98,8.3
0.56,312,100,7.9
0.78,334,116,8
0.72,324,112,8.1
0.7,322,110,8
0.64,320,103,7.7
0.64,316,102,7.4
0.46,298,99,7.6
0.36,300,99,6.8
0.42,311,104,8.3
0.48,309,100,8.1
0.47,307,101,8.2
0.54,304,105,8.2
0.56,315,107,8.5
0.52,325,111,8.7
0.55,325,112,8.92
0.61,327,114,9.02
0.57,316,107,8.64
0.68,318,109,9.22
0.78,328,115,9.16
0.94,332,118,9.64
0.96,336,112,9.76
0.93,321,111,9.45
0.84,314,108,9.04
0.74,314,106,8.9
0.72,329,114,8.56
0.74,327,112,8.72
0.64,301,99,8.22
0.44,296,95,7.54
0.46,294,93,7.36
0.5,312,105,8.02
0.96,340,120,9.5
0.92,320,110,9.22
0.92,322,115,9.36
0.94,340,115,9.45
0.76,319,103,8.66
0.72,315,106,8.42
0.66,317,107,8.28
0.64,314,108,8.14
0.74,316,109,8.76
0.64,318,106,7.92
0.38,299,97,7.66
0.34,298,98,8.03
0.44,301,97,7.88
0.36,303,99,7.66
0.42,304,100,7.84
0.48,306,100,8
0.86,331,120,8.96
0.9,332,119,9.24
0.79,323,113,8.88
0.71,322,107,8.46
0.64,312,105,8.12
0.62,314,106,8.25
0.57,317,104,8.47
0.74,326,112,9.05
0.69,316,110,8.78
0.87,329,111,9.18
0.91,338,117,9.46
0.93,331,116,9.38
0.68,304,103,8.64
0.61,305,108,8.48
0.69,321,109,8.68
0.62,301,107,8.34
0.72,320,110,8.56
0.59,311,105,8.45
0.66,310,106,9.04
0.56,299,102,8.62
0.45,290,104,7.46
0.47,296,99,7.28
0.71,327,104,8.84
0.94,335,117,9.56
0.94,334,119,9.48
0.57,310,106,8.36
0.61,308,108,8.22
0.57,301,106,8.47
0.64,300,100,8.66
0.85,323,113,9.32
0.78,319,112,8.71
0.84,326,112,9.1
0.92,333,118,9.35
0.96,339,114,9.76
0.77,303,105,8.65
0.71,309,105,8.56
0.79,323,112,8.78
0.89,333,113,9.28
0.82,314,109,8.77
0.76,312,103,8.45
0.71,316,100,8.16
0.8,326,116,9.08
0.78,318,109,9.12
0.84,329,110,9.15
0.9,332,118,9.36
0.92,331,115,9.44
0.97,340,120,9.92
0.8,325,112,8.96
0.81,320,113,8.64
0.75,315,105,8.48
0.83,326,114,9.11
0.96,339,116,9.8
0.79,311,106,8.26
0.93,334,114,9.43
0.94,332,116,9.28
0.86,321,112,9.06
0.79,324,105,8.75
0.8,326,108,8.89
0.77,312,109,8.69
0.7,315,105,8.34
0.65,309,104,8.26
0.61,306,106,8.14
0.52,297,100,7.9
0.57,315,103,7.86
0.53,298,99,7.46
0.67,318,109,8.5
0.68,317,105,8.56
0.81,329,111,9.01
0.78,322,110,8.97
0.65,302,102,8.33
0.64,313,102,8.27
0.64,293,97,7.8
0.65,311,99,7.98
0.68,312,101,8.04
0.89,334,117,9.07
0.86,322,110,9.13
0.89,323,113,9.23
0.87,321,111,8.97
0.85,320,111,8.87
0.9,329,119,9.16
0.82,319,110,9.04
0.72,309,108,8.12
0.73,307,102,8.27
0.71,300,104,8.16
0.71,305,107,8.42
0.68,299,100,7.88
0.75,314,110,8.8
0.72,316,106,8.32
0.89,327,113,9.11
0.84,317,107,8.68
0.93,335,118,9.44
0.93,331,115,9.36
0.88,324,112,9.08
0.9,324,111,9.16
0.87,323,110,8.98
0.86,322,114,8.94
0.94,336,118,9.53
0.77,316,109,8.76
0.78,307,107,8.52
0.73,306,105,8.26
0.73,310,106,8.33
0.7,311,104,8.43
0.72,313,107,8.69
0.73,317,103,8.54
0.72,315,110,8.46
0.97,340,120,9.91
0.97,334,120,9.87
0.69,298,105,8.54
0.57,295,99,7.65
0.63,315,99,7.89
0.66,310,102,8.02
0.64,305,106,8.16
0.68,301,104,8.12
0.79,325,108,9.06
0.82,328,110,9.14
0.95,338,120,9.66
0.96,333,119,9.78
0.94,331,117,9.42
0.93,330,116,9.36
0.91,322,112,9.26
0.85,321,109,9.13
0.84,324,110,8.97
0.74,312,104,8.42
0.76,313,103,8.75
0.75,316,110,8.56
0.76,324,113,8.79
0.71,308,109,8.45
0.67,305,105,8.23
0.61,296,99,8.03
0.63,306,110,8.45
0.64,312,110,8.53
0.71,318,112,8.67
0.82,324,111,9.01
0.73,313,104,8.65
0.74,319,106,8.33
0.69,312,107,8.27
0.64,304,100,8.07
0.91,330,113,9.31
0.88,326,111,9.23
0.85,325,112,9.17
0.86,329,114,9.19
0.7,310,104,8.37
0.59,299,100,7.89
0.6,296,101,7.68
0.65,317,103,8.15
0.7,324,115,8.76
0.76,325,114,9.04
0.63,314,107,8.56
0.81,328,110,9.02
0.72,316,105,8.73
0.71,311,104,8.48
0.8,324,110,8.87
0.77,321,111,8.83
0.74,320,104,8.57
0.7,316,99,9
0.71,318,100,8.54
0.93,335,115,9.68
0.85,321,114,9.12
0.79,307,110,8.37
0.76,309,99,8.56
0.78,324,100,8.64
0.77,326,102,8.76
0.9,331,119,9.34
0.87,327,108,9.13
0.71,312,104,8.09
0.7,308,103,8.36
0.7,324,111,8.79
0.75,325,110,8.76
0.71,313,102,8.68
0.72,312,105,8.45
0.73,314,107,8.17
0.83,327,113,9.14
0.77,308,108,8.34
0.72,306,105,8.22
0.54,299,96,7.86
0.49,294,95,7.64
0.52,312,99,8.01
0.58,315,100,7.95
0.78,322,110,8.96
0.89,329,113,9.45
0.7,320,101,8.62
0.66,308,103,8.49
0.67,304,102,8.73
0.68,311,102,8.64
0.8,317,110,9.11
0.81,312,106,8.79
0.8,321,111,8.9
0.94,340,112,9.66
0.93,331,116,9.26
0.92,336,118,9.19
0.89,324,114,9.08
0.82,314,104,9.02
0.79,313,109,9
0.58,307,105,7.65
0.56,300,102,7.87
0.56,302,99,7.97
0.64,312,98,8.18
0.61,316,101,8.32
0.68,317,100,8.57
0.76,310,107,8.67
0.86,320,120,9.11
0.9,330,114,9.24
0.71,305,112,8.65
0.62,309,106,8
0.66,319,108,8.76
0.65,322,105,8.45
0.73,323,107,8.55
0.62,313,106,8.43
0.74,321,109,8.8
0.79,323,110,9.1
0.8,325,112,9
0.69,312,108,8.53
0.7,308,110,8.6
0.76,320,104,8.74
0.84,328,108,9.18
0.78,311,107,9
0.67,301,100,8.04
0.66,305,105,8.13
0.65,308,104,8.07
0.54,298,101,7.86
0.58,300,99,8.01
0.79,324,111,8.8
0.8,327,113,8.69
0.75,317,106,8.5
0.73,323,104,8.44
0.72,314,107,8.27
0.62,305,102,8.18
0.67,315,104,8.33
0.81,326,116,9.14
0.63,299,100,8.02
0.69,295,101,7.86
0.8,324,112,8.77
0.43,297,96,7.89
0.8,327,113,8.66
0.73,311,105,8.12
0.75,308,106,8.21
0.71,319,108,8.54
0.73,312,107,8.65
0.83,325,111,9.11
0.72,319,110,8.79
0.94,332,118,9.47
0.81,323,108,8.74
0.81,324,107,8.66
0.75,312,107,8.46
0.79,326,110,8.76
0.58,308,106,8.24
0.59,305,103,8.13
0.47,295,96,7.34
0.49,316,98,7.43
0.47,304,97,7.64
0.42,299,94,7.34
0.57,302,99,7.25
0.62,313,101,8.04
0.74,318,107,8.27
0.73,325,110,8.67
0.64,303,100,8.06
0.63,300,102,8.17
0.59,297,98,7.67
0.73,317,106,8.12
0.79,327,109,8.77
0.68,301,104,7.89
0.7,314,105,7.64
0.81,321,107,8.44
0.85,322,110,8.64
0.93,334,116,9.54
0.91,338,115,9.23
0.69,306,103,8.36
0.77,313,102,8.9
0.86,330,114,9.17
0.74,320,104,8.34
0.57,311,98,7.46
0.51,298,92,7.88
0.67,301,98,8.03
0.72,310,103,8.24
0.89,324,110,9.22
0.95,336,119,9.62
0.79,321,109,8.54
0.39,315,105,7.65
0.38,304,101,7.66
0.34,297,96,7.43
0.47,290,100,7.56
0.56,303,98,7.65
0.71,311,99,8.43
0.78,322,104,8.84
0.73,319,105,8.67
0.82,324,110,9.15
0.62,300,100,8.26
0.96,340,113,9.74
0.96,335,117,9.82
0.46,302,101,7.96
0.53,307,105,8.1
0.49,296,97,7.8
0.76,320,108,8.44
0.64,314,102,8.24
0.71,318,106,8.65
0.84,326,112,9.12
0.77,317,104,8.76
0.89,329,111,9.23
0.82,324,110,9.04
0.84,325,107,9.11
0.91,330,116,9.45
0.67,312,103,8.78
0.95,333,117,9.66
0.63,304,100,8.22
0.66,315,105,8.34
0.78,324,109,8.94
0.91,330,116,9.23
0.62,311,101,7.64
0.52,302,99,7.45
0.61,322,103,8.02
0.58,298,100,7.95
0.57,297,101,7.67
0.61,300,98,8.02
0.54,301,96,7.56
0.56,313,94,8.13
0.59,314,102,7.88
0.49,317,101,7.94
0.72,321,110,8.35
0.76,327,106,8.75
0.65,315,104,8.1
0.52,316,103,7.68
0.6,309,111,8.03
0.58,308,102,7.98
0.42,299,100,7.42
0.77,321,112,8.95
0.73,322,112,9.02
0.94,334,119,9.54
0.91,325,114,9.46